0196112	1659630
0196118	1659620
0198548	1659957
0198559	1659949
0201065	1659544
0201076	1659540
0195672	1656907
0195676	1656909
0199028	1656962
0199016	1656944
0200532	1656750
0200537	1656753
0203505	1657023
0203499	1657016
0193196	1654512
0193193	1654508
0195448	1654817
0195462	1654821
0198135	1654529
0198135	1654540
0200715	1654447
0200721	1654449
0203296	1654413
0203283	1654414
0195718	1652097
0195723	1652112
0198165	1651937
0198180	1651920
0201077	1651815
0201074	1651811
0195623	1649813
0195627	1649819
0198047	1649294
0198050	1649286
0201244	1649265
0201235	1649258
0198021	1647008
0198024	1647023
0200886	1646483
0200883	1646492
0203058	1646728
0203047	1646726
0205740	1646697
0205731	1646702
0208163	1646733
0208163	1646733
0200550	1644385
0200552	1644383
0203045	1644656
0203040	1644644
0204986	1644228
0204975	1644239
0207977	1644097
0207966	1644111
0210385	1644057
0210384	1644055
0200276	1642039
0200281	1642033
0203111	1642020
0203095	1642013
0205241	1641967
0205241	1641955
0207927	1641900
0207924	1641913
0210374	1641482
0210367	1641473
0212701	1641564
0212705	1641564
0215035	1641521
0215035	1641521
0202712	1640141
0202689	1640103
0207806	1639716
0207813	1639720
0210394	1639195
0210392	1639199
0212652	1639198
0212654	1639205
0202615	1636820
0202618	1636805
0205271	1637017
0205216	1637012
0207330	1636724
0207335	1636719
0210438	1636911
0210439	1636908
0212620	1636666
0212613	1636665
0215301	1636359
0215303	1636360
0205283	1634553
0205290	1634551
0207626	1634496
0207626	1634500
0210152	1634476
0210145	1634491
0212521	1633994
0212521	1633994
0215583	1634307
0215574	1634329
0204976	1631932
0204976	1631924
0207753	1631832
0207754	1631835
0210066	1631861
0210069	1631875
0212641	1631569
0212650	1631577
0214951	1631468
0214948	1631471
0205155	1629412
0205168	1629387
0207754	1629271
0207748	1629270
0210150	1629130
0210176	1629124
0212476	1629200
0212475	1629210
0214737	1628906
0214739	1628903
0204841	1627052
0204840	1627059
0207501	1626925
0207487	1626921
0204872	1624326
0204881	1624347
0207489	1624179
0207491	1624191
0204953	1621944
0204954	1621951
0222416	1638527
0222414	1638518
0217572	1636422
0217576	1636420
0219980	1636573
0219982	1636577
NA	NA
NA	NA
0225180	1636317
0225190	1636320
0227804	1636237
0227801	1636247
0217807	1633728
0217803	1633728
0220039	1634230
0220035	1634224
0223044	1633963
0223036	1633960
0225208	1633846
0225208	1633840
0217714	1631526
0217697	1631538
0220076	1631233
0220072	1631240
NA	NA
NA	NA
0225086	1631320
0225088	1631318
NA	NA
NA	NA
NA	NA
NA	NA
0217544	1628968
0217541	1628962
0220062	1628841
0220070	1628835
0222554	1628962
0222554	1628964
0225029	1628818
0225029	1628828
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
0214903	1626720
0214920	1626711
0217603	1626514
0217594	1626525
0219866	1626616
0219869	1626623
0222448	1626308
0222445	1626321
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
0212368	1624260
0212386	1624259
0215019	1624157
0215012	1624155
0217497	1624030
0217486	1624032
0219932	1623962
0219918	1623969
0222268	1623962
0222265	1623953
NA	NA
NA	NA
0207297	1621746
0207299	1621739
0209911	1621810
0209910	1621810
0212486	1621653
0212493	1621658
0217323	1621329
0217321	1621324
0227190	1621399
0227198	1621417
0229439	1621317
0229424	1621317
0204694	1619161
0204694	1619152
0207282	1619211
0207288	1619212
0209638	1619288
0209665	1619294
0217390	1619169
0217396	1619170
0219802	1619037
0219795	1619034
0221939	1618725
0221950	1618731
0224465	1619161
0224476	1619161
0227238	1618779
0227235	1618793
0204649	1616928
0204642	1616935
0217025	1616842
0217013	1616851
0219663	1616738
0219647	1616731
0221920	1616323
0221924	1616334
0224760	1616419
0224761	1616413
0227233	1616192
0227240	1616194
0229622	1616004
0229623	1616017
0232130	1615960
0232124	1615977
0222102	1613908
0222105	1613913
0224642	1613669
0224643	1613663
0229555	1613713
0229555	1613730
0232132	1613617
0232136	1613622
0234657	1613581
0234672	1613568
0224659	1611284
0224658	1611283
0226337	1611065
0226336	1611054
0229620	1611273
0229616	1611273
0232034	1611131
0232049	1611131
	
	
	
	
	
	
	
	
	
