id,class,order,family,genus,species,authority,commonNameEnglish,taxonomyType,uniqueIdentifier,FFI_species_name
2012903,Aves,Passeriformes,Corvidae,Cissa,chinensis,"Boddaert, 1783",Common Green Magpie,biological,64972a54-90a8-49b0-9892-1f658c650029,Common Green Magpie
2005874,Aves,Galliformes,Phasianidae,Arborophila,rufogularis,"Blyth, 1850",Rufous-throated Partridge,biological,843ab0d1-e748-4fdd-957e-59357e99db01,Rufous-throated Partridge
2015024,Aves,Passeriformes,Turdidae,Geokichla,citrina,"Latham, 1790",Orange-headed Thrush,biological,b1e4f65f-55d7-4074-af7d-561adb1e5524,Orange-headed Thrush
2015354,Aves,Passeriformes,Muscicapidae,Enicurus,leschenaulti,"Vieillot, 1818",White-crowned Forktail,biological,38dc2acd-9658-4532-a4d3-d3bbed05947c,White-Crowned Forktail
2010433,Aves,Passeriformes,Pittidae,Hydrornis,cyaneus,"Blyth, 1843",Blue Pitta,biological,1e62cb8c-cd40-40ee-9d9d-ca91a80e104a,Blue Pitta
2012901,Aves,Passeriformes,Corvidae,Urocissa,xanthomelana,"Delacour, 1927",White-winged Magpie,biological,a5394232-1dd1-4128-be61-2a20aaac662b,White-winged Magpie
2014075,Aves,Passeriformes,Scotocercidae,Urosphena,squameiceps,"Swinhoe, 1863",Asian Stubtail,biological,97d354a5-c265-4861-b4e3-993997e17034,Asian Stubtail
2008922,Aves,Accipitriformes,Accipitridae,Accipiter,trivirgatus,"Temminck, 1824",Crested Goshawk,biological,49e04ec7-4f0c-4df5-8cfb-bcc106506f22,Crested Goshawk
2015237,Aves,Passeriformes,Muscicapidae,Cyornis,sumatrensis,"Sharpe, 1879",Indochinese Blue-flycatcher,biological,7f352b7b-094e-4c32-9682-adba9966f16c,Indochinese Blue-flycatcher
2014529,Aves,Passeriformes,Leiotrichidae,Garrulax,konkakinhensis,"Eames & Eames, 2001",Chestnut-eared Laughingthrush,biological,22107253-73e0-4474-b982-b970fffcced0,Chestnut-eared Laughingthrush
2014579,Aves,Passeriformes,Leiotrichidae,Trochalopteron,milnei,"David, 1874",Red-tailed Laughingthrush,biological,008d8de3-9cbc-449a-ae5d-80c1dea7b4c8,Red-tailed Laughingthrush
2014584,Aves,Passeriformes,Leiotrichidae,Trochalopteron,ngoclinhense,"Eames, Le Trong Trai & Nguyen Cu, 1999",Golden-winged Laughingthrush,biological,7819bf4d-b6c1-4b72-bda8-d4e30b2b4ba4,Golden-winged Laughingthrush
2015063,Aves,Passeriformes,Turdidae,Turdus,mandarinus,"Bonaparte, 1850",Chinese Blackbird,biological,92b7d46b-43a4-4938-a9f8-65a494f5bdc3,Chinese Blackbird
2000207,Mammalia,Carnivora,Mustelidae,Aonyx,cinereus,"Illiger, 1815",Asian Small-clawed Otter,biological,132aae49-dd26-4f0d-98e8-bcb5f2f8449b,Asian Small-clawed Otter
2014432,Aves,Passeriformes,Pellorneidae,Trichastoma,tickelli,"Blyth, 1859",Buff-breasted Babbler,biological,bad6ab4c-cedb-4cf9-8a78-d6e6d20c97d9,Buff-breasted Babbler
2008529,Aves,Strigiformes,Tytonidae,Phodilus,badius,"Horsfield, 1821",Oriental Bay Owl,biological,b4f26318-22be-4bdf-b4a8-b207c0ad90ef,Oriental Bay Owl
2020989,Mammalia,Primates,Cercopithecidae,Macaca,,,Macaca Species,biological,bc0178de-d331-4a6e-84d7-f6e8d55b966d,Macaque
2021108,Mammalia,,,,,,Mammal,biological,f2d233e3-80e3-433d-9687-e29ecc7a467a,Mammal
2014989,Aves,Passeriformes,Turdidae,Zoothera,dauma,"Latham, 1790",,biological,90c08738-55d1-40d1-824c-bb2d3b973259,Scaly Thrush
2014342,Aves,Passeriformes,Timaliidae,Pomatorhinus,ferruginosus,"Blyth, 1845",Coral-billed Scimitar Babbler,biological,adbc0b61-32eb-4b23-973e-200006707a3a,Coral-billed Scimitar Babbler
2021251,Mammalia,Rodentia,Muridae,,,,Muridae Family,biological,9880b662-dc21-453b-aa2f-dd97338f623b,Maxomys
2004807,Mammalia,Cetartiodactyla,Cervidae,Rusa,unicolor,"Kerr, 1792",Sambar,biological,96d478d5-30c4-4857-81de-9ac46d132800,Sambar
2007513,Aves,Gruiformes,Rallidae,Rallina,eurizonoides,"Lafresnaye, 1845",Slaty-legged Crake,biological,b602ff8a-1870-4633-90f3-51846594950a,Slaty-legged Crake
2005618,Mammalia,Carnivora,Viverridae,Viverricula,indica,"É. Geoffroy Saint-Hilaire, 1803",Small Indian Civet,biological,f68b2a88-9655-499b-b3c3-f9825ed3ba2a,Small Indian Civet
2006035,Aves,Galliformes,Phasianidae,Lophura,diardi,"Bonaparte, 1856",Siamese Fireback,biological,6338d4e9-2ffe-4f75-aaef-22334f5d091a,Siamese Fireback
2015149,Aves,Passeriformes,Muscicapidae,Copsychus,saularis,"Linnaeus, 1758",Oriental Magpie-Robin,biological,42e0edc2-eeff-4ed9-8841-adc10ab70df7,Oriental Magpie Robin
